Millstone Hill RedLine  Brightness and Temperature
Plate gap:  1.0525 FSR:   84.4553 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
mh151101   flats: mh151101  quadratic background, Poisson weighting, ( sky  )   moon phase:  Waning gibbous ;
avg. brightness Z (R):   26.2 +/- 24.3 avg. error:   2.0
avg. brightness N (R):   34.2 +/- 27.6 avg. error:   2.2  avg. brightness S (R):   33.2 +/- 29.7 avg. error:   2.2
avg. brightness E (R):   34.7 +/- 26.7 avg. error:   2.3  avg. brightness W (R):   33.5 +/- 30.0 avg. error:   2.2
avg. background Z (R):   49.2 +/- 36.2 avg. error:   1.6
avg. background N (R):   49.6 +/- 28.2 avg. error:   1.2  avg. background S (R):   63.8 +/- 62.3 avg. error:   3.6
avg. background E (R):   61.8 +/- 51.2 avg. error:   2.0  avg. background W (R):   53.2 +/- 59.7 avg. error:   2.2
     avg. temp. Z (K):  889.4 +/- 57.4 avg. error:  46.2
     avg. temp. N (K):  898.3 +/- 45.2 avg. error:  36.1  avg. temp. S (K):  887.1 +/- 69.5 avg. error:  42.0
     avg. temp. E (K):  887.5 +/- 56.4 avg. error:  39.9  avg. temp. W (K):  901.1 +/- 61.4 avg. error:  37.8
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
 
 
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
  55 25.94 0.021   0.0   0.0   18.26   1.722    32.1    0.95  885.132  40.554 63.9  1
  56 25.99 0.021   0.0  45.0   27.47   1.970    35.0    1.00  877.911  29.899 63.9  0
  57 26.05 0.021  90.0  45.0   19.30   1.804    36.1    1.01  916.231  41.864 63.9  1
  58 26.10 0.021 180.0  45.0   18.00   1.746    34.4    0.99  894.416  42.412 63.9  1
  59 26.15 0.021 270.0  45.0   22.13   1.841    33.8    0.98  900.668  36.105 63.9  1
  60 26.40 0.021   0.0   0.0   14.51   1.628    31.5    0.95  936.129  51.898 63.8  2
  61 26.46 0.021   0.0  45.0   22.33   1.850    34.5    0.99  885.250  35.316 63.8  1
  62 26.51 0.021  90.0  45.0   13.30   1.645    36.4    1.01  900.489  55.738 63.8  2
  63 26.56 0.021 180.0  45.0   14.57   1.676    34.4    1.00  966.482  55.351 63.8  2
  64 26.61 0.021 270.0  45.0   18.06   1.758    33.7    0.99  962.659  45.960 63.8  1
  65 26.67 0.021   0.0   0.0   12.12   1.567    31.3    0.95  970.959  62.835 63.7  2
  66 26.72 0.021   0.0  45.0   19.36   1.801    35.3    1.01  930.485  42.277 63.7  1
  67 26.77 0.021  90.0  45.0   11.80   1.606    35.9    1.01  932.552  64.035 63.7  2
  68 26.83 0.021 180.0  45.0   11.15   1.546    34.2    0.97  871.649  60.732 63.7  2
  69 26.88 0.021 270.0  45.0   15.64   1.685    32.9    0.98  964.454  51.350 63.7  1
  70 27.13 0.021   0.0   0.0    9.79   1.478    31.5    0.94  903.671  68.900 63.6  2
  71 27.18 0.021   0.0  45.0   16.45   1.705    34.2    0.98  900.685  45.911 63.6  1
  72 27.23 0.021  90.0  45.0   10.19   1.572    38.0    1.03  891.672  69.981 63.6  2
  73 27.29 0.021 180.0  45.0    9.29   1.504    33.9    0.98  934.676  77.097 63.6  2
  74 27.34 0.021 270.0  45.0   12.99   1.609    33.4    0.98  931.190  57.614 63.6  2
  75 27.39 0.021   0.0   0.0    9.18   1.456    31.5    0.94  892.082  71.621 63.5  2
  76 27.44 0.021   0.0  45.0   15.93   1.691    35.2    0.99  863.122  45.115 63.5  1
  78 27.55 0.021 180.0  45.0    8.48   1.450    34.6    0.97  819.592  71.279 63.5  2
  79 27.60 0.021 270.0  45.0   11.57   1.550    33.4    0.96  876.695  58.878 63.5  2
  80 27.85 0.021   0.0   0.0    9.51   1.496    32.0    8.04  957.809  76.773 63.4  2
  81 27.90 0.021   0.0  45.0   15.98   1.728    35.1    1.01  983.271  52.771 63.4  2
  82 27.96 0.021  90.0  45.0   10.19   1.621    39.6    1.07  979.935  79.919 63.4  2
  83 28.01 0.021 180.0  45.0   10.26   1.535    35.3    0.99  874.627  66.215 63.4  2
  84 28.06 0.021 270.0  45.0   12.85   1.603    33.8    0.98  908.883  56.581 63.4  2
  85 28.12 0.021   0.0   0.0   10.61   1.554    32.2    0.98 1043.734  77.615 63.3  2
  86 28.17 0.021   0.0  45.0   15.86   1.693    35.4    0.99  868.673  45.723 63.3  1
  87 28.22 0.021  90.0  45.0    9.97   1.615    41.4    1.08  914.330  75.882 63.3  2
  88 28.28 0.021 180.0  45.0   10.04   1.551    35.1    1.00  960.295  75.546 63.3  2
  89 28.33 0.021 270.0  45.0   13.14   1.603    34.0    0.97  875.043  53.140 63.3  2
  90 28.58 0.021   0.0   0.0    8.80   1.477    33.9    0.97  896.124  76.706 63.2  2
  91 28.63 0.021   0.0  45.0   15.77   1.711    36.8    1.01  878.243  47.126 63.2  2
  92 28.68 0.021  90.0  45.0    9.84   1.706    51.0    1.19  867.361  77.716 63.2  2
  93 28.74 0.021 180.0  45.0    9.96   1.558    37.0    1.02  911.155  72.633 63.2  2
  94 28.79 0.021 270.0  45.0   12.95   1.623    34.6    0.99  934.234  58.622 63.2  2
  95 28.84 0.021   0.0   0.0    9.28   1.513    34.8    0.99  927.083  77.108 63.1  2
  96 28.90 0.021   0.0  45.0   15.37   1.722    37.9    1.04  905.305  50.446 63.1  2
  97 28.95 0.021  90.0  45.0   10.57   1.779    56.5    1.24  850.094  73.917 63.1  2
  98 29.00 0.021 180.0  45.0   10.72   1.625    38.1    1.05 1005.525  77.875 63.1  2
  99 29.05 0.021 270.0  45.0   12.47   1.682    39.7    1.07  959.851  65.573 63.1  2
 100 29.42 0.021   0.0   0.0   10.25   1.632    44.2    1.10  844.947  68.796 63.0  2
 101 29.47 0.021   0.0  45.0   16.82   1.857    44.5    1.13  969.206  53.669 63.0  2
 105 29.68 0.021   0.0   0.0   10.51   1.775    56.5    1.24  843.632  73.634 62.9  2
 106 29.74 0.021   0.0  45.0   12.50   1.929    65.0    1.34  875.863  69.885 62.9  2
 110 30.14 0.021   0.0   0.0   11.01   1.814    60.8    1.28  802.762  68.287 62.8  2
 114 30.36 0.021 270.0  45.0   14.93   1.784    44.4    1.12  903.420  54.295 62.7  2
 115 30.41 0.021   0.0   0.0   13.81   1.792    48.1    1.16  890.426  58.572 62.7  2
 118 30.57 0.021 180.0  45.0   15.31   1.858    50.0    9.94  894.406  54.975 62.7  2
 119 30.62 0.021 270.0  45.0   15.88   1.775    41.7    1.08  892.458  49.760 62.6  2
 120 30.87 0.021   0.0   0.0   14.34   1.803    50.0    1.17  829.239  52.633 62.6  2
 121 30.92 0.021   0.0  45.0   17.49   1.962    55.6    1.25  885.230  50.043 62.6  2
 122 30.97 0.021  90.0  45.0   18.19   2.274    95.8    1.59  765.671  49.187 62.5  2
 123 31.03 0.021 180.0  45.0   16.31   2.106    75.1    1.44  854.230  56.604 62.5  2
