Easton, Maine  Redline   Brightness and Temperature
Plate gap:  1.0320 FSR:   71.4248 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
me241204   flats: me241204  quadratic background, Poisson weighting, ( sky  )   moon phase:  Waxing crescent 
avg. brightness Z (R):  137.6 +/- 77.7 avg. error:   3.9
avg. brightness N (R):    0.0 +/-  0.0 avg. error:   0.0  avg. brightness S (R):    0.0 +/-  0.0 avg. error:   0.0
avg. brightness E (R):    0.0 +/-  0.0 avg. error:   0.0  avg. brightness W (R):    0.0 +/-  0.0 avg. error:   0.0
avg. background Z (R):  203.0 +/- 98.0 avg. error:   2.1
avg. background N (R):    0.0 +/-  0.0 avg. error:   0.0  avg. background S (R):    0.0 +/-  0.0 avg. error:   0.0
avg. background E (R):    0.0 +/-  0.0 avg. error:   0.0  avg. background W (R):    0.0 +/-  0.0 avg. error:   0.0
     avg. temp. Z (K):  601.2 +/- 48.8 avg. error:   9.5
     avg. temp. N (K):    0.0 +/-  0.0 avg. error:   0.0  avg. temp. S (K):    0.0 +/-  0.0 avg. error:   0.0
     avg. temp. E (K):    0.0 +/-  0.0 avg. error:   0.0  avg. temp. W (K):    0.0 +/-  0.0 avg. error:   0.0
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: 46.68, longitude: -67.88
SS-Analyze V05.03
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
  70 24.67 0.017   0.0   0.0  237.33   4.644   157.1    1.87  655.920   5.704 26.0  1
  71 24.70 0.017   0.0   0.0  225.42   4.599   169.8    1.93  646.350   5.908 26.0  1
  72 24.74 0.017   0.0   0.0  210.91   4.484   164.1   18.05  615.138   5.869 26.0  1
  73 24.78 0.017   0.0   0.0  214.40   4.504   166.9    1.92  645.835   6.093 26.0  1
  74 24.82 0.017   0.0   0.0  202.96   4.443   174.0    1.96  645.203   6.385 26.0  1
  75 24.86 0.017   0.0   0.0  200.12   4.392   169.5    1.92  622.777   6.162 26.0  1
  76 24.89 0.017   0.0   0.0  195.63   4.367   170.8    1.93  630.124   6.358 26.1  1
  77 24.93 0.017   0.0   0.0  187.70   4.337   178.7    1.98  637.479   6.704 26.1  1
  78 24.97 0.017   0.0   0.0  189.37   4.318   172.5    1.94  623.242   6.440 26.1  1
  79 25.01 0.017   0.0   0.0  187.91   4.292   167.9    1.92  631.187   6.528 26.1  1
  80 25.13 0.017   0.0   0.0  185.43   4.258   163.3    1.89  632.642   6.573 26.1  1
  81 25.17 0.017   0.0   0.0  187.30   4.251   159.4    1.86  618.689   6.330 26.1  1
  82 25.20 0.017   0.0   0.0  194.61   4.283   151.0    1.82  629.840   6.215 26.1  1
  83 25.24 0.017   0.0   0.0  194.40   4.267   147.6    1.79  625.617   6.145 26.2  1
  84 25.28 0.017   0.0   0.0  197.58   4.275   144.2    1.77  620.256   5.986 26.2  1
  85 25.32 0.017   0.0   0.0  202.20   4.322   146.2    1.79  630.209   6.011 26.2  1
  86 25.36 0.017   0.0   0.0  199.78   4.315   150.2    1.81  620.680   5.992 26.2  1
  87 25.39 0.017   0.0   0.0  193.25   4.313   163.6    1.89  617.823   6.213 26.2  1
  88 25.43 0.017   0.0   0.0  180.98   4.282   181.3    1.98  621.770   6.710 26.2  1
  89 25.47 0.017   0.0   0.0  167.06   4.196   189.7    2.03  617.412   7.134 26.2  1
  90 25.59 0.017   0.0   0.0  156.73   4.052   173.8    1.93  604.602   7.170 26.2  1
  91 25.63 0.017   0.0   0.0  155.80   4.017   169.3    1.91  607.899   7.181 26.3  1
  92 25.67 0.017   0.0   0.0  152.92   4.001   168.4    1.91  629.193   7.564 26.3  1
  93 25.71 0.017   0.0   0.0  151.91   3.961   163.4    1.88  611.826   7.306 26.3  1
