Arecibo Observatory Red Line Fabry-Perot  Brightness and Temperature
Plate gap:  1.0560 FSR:   84.7353 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
ao220308   flats: ao220308  quadratic background, Poisson weighting, ( sky  )   moon phase:  First quarter ; 
avg. brightness Z (R):   49.9 +/- 30.8 avg. error:   2.6
avg. brightness N (R):   58.4 +/- 36.6 avg. error:   2.8  avg. brightness S (R):   61.5 +/- 35.4 avg. error:   2.8
avg. brightness E (R):   64.5 +/- 36.0 avg. error:   2.8  avg. brightness W (R):   54.9 +/- 37.8 avg. error:   2.7
avg. background Z (R):   52.9 +/- 21.1 avg. error:   1.3
avg. background N (R):   60.6 +/- 32.6 avg. error:   1.6  avg. background S (R):   52.5 +/-  9.3 avg. error:   1.3
avg. background E (R):   55.3 +/- 10.7 avg. error:   1.3  avg. background W (R):   62.1 +/- 25.6 avg. error:   1.6
     avg. temp. Z (K): 1097.8 +/-121.2 avg. error:  36.3
     avg. temp. N (K): 1094.1 +/-112.9 avg. error:  33.8  avg. temp. S (K): 1117.9 +/-107.8 avg. error:  30.1
     avg. temp. E (K): 1119.4 +/-103.0 avg. error:  31.8  avg. temp. W (K): 1096.4 +/- 96.6 avg. error:  35.7
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: 18.35, longitude: -66.75
SS-Analyze V05.02
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
  48 25.61 0.017 180.0  45.0   71.10   3.015    54.2    1.34 1213.001  24.129 40.1  0
  49 25.66 0.017 270.0  45.0   64.03   2.974    64.6    1.43 1110.213  24.509 40.1  0
  50 25.78 0.017   0.0   0.0   39.54   2.444    47.3    1.24 1203.608  35.995 40.2  0
  51 25.82 0.017   0.0  45.0   34.15   2.352    48.0    1.25 1202.932  40.543 40.2  0
  52 25.87 0.017  90.0  45.0   41.48   2.486    47.4    1.25 1220.582  35.324 40.2  0
  53 25.91 0.017 180.0  45.0   55.76   2.733    50.6    1.28 1148.055  26.609 40.2  0
  54 25.95 0.017 270.0  45.0   43.64   2.565    55.8    1.32 1084.970  30.759 40.2  0
  55 25.99 0.017   0.0   0.0   29.35   2.229    44.5    1.21 1235.964  46.245 40.2  0
  56 26.03 0.017   0.0  45.0   21.02   2.300    70.3    1.48 1139.537  64.032 40.2  2
  57 26.07 0.017  90.0  45.0   16.04   2.036    55.1    1.31 1169.493  76.469 40.3  2
  58 26.12 0.017 180.0  45.0   29.46   2.226    49.7    1.23 1039.991  38.503 40.3  0
  59 26.16 0.017 270.0  45.0   28.26   2.317    59.4    1.35 1086.508  44.408 40.3  1
  60 26.28 0.017   0.0   0.0   19.36   1.990    46.1    1.19 1108.681  57.320 40.3  1
  61 26.33 0.017   0.0  45.0   18.34   1.958    46.3    1.19 1083.243  58.314 40.3  2
  62 26.37 0.017  90.0  45.0   24.35   2.125    46.8    1.22 1154.481  50.158 40.3  1
  63 26.41 0.017 180.0  45.0   27.30   2.162    45.4    1.19 1122.148  43.738 40.4  0
  64 26.45 0.017 270.0  45.0   20.97   2.200    60.8    1.38 1138.392  60.853 40.4  2
  65 26.49 0.017   0.0   0.0   19.44   2.013    39.8    1.18 1449.520  76.340 40.4  1
  66 26.53 0.017   0.0  45.0   17.31   1.924    43.9   10.28 1123.740  63.243 40.4  2
  67 26.58 0.017  90.0  45.0   23.11   2.083    46.2    1.20 1131.403  50.809 40.4  1
  68 26.62 0.017 180.0  45.0   21.75   2.133    49.8    1.27 1247.261  61.882 40.4  1
  69 26.66 0.017 270.0  45.0   18.13   1.997    48.4    1.23 1133.770  63.298 40.4  2
  70 26.79 0.017   0.0   0.0   13.90   1.789    42.4    1.13 1050.643  68.750 40.5  2
  71 26.83 0.017   0.0  45.0   18.21   1.985    46.4    1.21 1161.991  64.107 40.5  1
  72 26.87 0.017  90.0  45.0   31.01   2.244    44.6    1.20 1178.372  41.721 40.5  0
  73 26.91 0.017 180.0  45.0   25.34   2.156    43.4    1.21 1322.502  56.196 40.5  1
  74 26.95 0.017 270.0  45.0   18.17   2.003    48.3    1.23 1154.122  64.551 40.5  2
  75 26.99 0.017   0.0   0.0   15.51   1.868    40.0    1.14 1264.402  77.614 40.5  2
  76 27.04 0.017   0.0  45.0   18.74   2.068    51.9    1.28 1186.737  66.740 40.5  2
  77 27.08 0.017  90.0  45.0   30.40   2.215    44.4    1.18 1123.767  39.944 40.5  0
  78 27.12 0.017 180.0  45.0   25.34   2.157    42.8    1.21 1350.629  57.432 40.6  1
  79 27.16 0.017 270.0  45.0   17.96   2.083    49.1   11.00 1358.086  81.154 40.6  2
  80 27.29 0.017   0.0   0.0   13.95   1.794    44.5    1.14  982.140  64.114 40.6  2
  81 27.33 0.017   0.0  45.0   15.76   1.938    54.4    1.25  944.317  59.057 40.6  2
  82 27.37 0.017  90.0  45.0   26.66   2.206    46.8    1.24 1261.195  51.975 40.6  1
  83 27.41 0.017 180.0  45.0   21.54   2.065    46.8    1.22 1164.901  56.053 40.6  1
  84 27.45 0.017 270.0  45.0   16.21   1.910    45.7    1.19 1112.069  66.534 40.6  2
  85 27.50 0.017   0.0   0.0   14.66   1.803    39.1    1.11 1165.239  72.781 40.7  2
  86 27.54 0.017   0.0  45.0   18.71   1.968    42.7    1.17 1219.306  64.749 40.7  1
  87 27.58 0.017  90.0  45.0   14.13   1.910    45.4    1.22 1288.017  89.916 40.7  2
  88 27.62 0.017 180.0  45.0   21.80   2.050    43.3    1.18 1227.904  57.822 40.7  1
  89 27.66 0.017 270.0  45.0   17.38   1.942    41.4    1.17 1298.637  73.789 40.7  2
  90 27.79 0.017   0.0   0.0   13.78   1.793    39.1    1.11 1202.442  79.866 40.7  2
  91 27.83 0.017   0.0  45.0   17.44   1.855    41.1    1.11 1017.403  54.081 40.7  1
  92 27.87 0.017  90.0  45.0   22.44   2.001    41.3    1.13 1099.650  48.488 40.8  1
  93 27.91 0.017 180.0  45.0   26.85   2.087    41.4    1.13 1057.891  40.107 40.8  0
  94 27.95 0.017 270.0  45.0   15.30   1.864    43.6    1.16 1117.478  69.152 40.8  2
  95 28.00 0.017   0.0   0.0   14.38   1.783    41.7    1.11 1011.741  63.407 40.8  2
  96 28.04 0.017   0.0  45.0   18.71   2.006    43.9    1.21 1294.890  70.529 40.8  1
  97 28.08 0.017  90.0  45.0   13.23   1.877    44.9    1.21 1277.922  93.860 40.8  2
  98 28.12 0.017 180.0  45.0   21.38   2.018    42.3    1.16 1195.271  56.418 40.8  1
  99 28.16 0.017 270.0  45.0   12.67   1.887    51.5    1.25 1105.120  85.148 40.8  2
 100 28.29 0.017   0.0   0.0   17.49   1.869    38.2    1.10 1176.974  63.188 40.9  1
 101 28.33 0.017   0.0  45.0   16.76   1.988    46.3    1.23 1287.871  78.285 40.9  2
 102 28.37 0.017  90.0  45.0   19.66   2.044    43.6    1.22 1362.513  72.015 40.9  1
 103 28.41 0.017 180.0  45.0   26.55   2.111    42.4    1.15 1116.083  43.521 40.9  0
 104 28.46 0.017 270.0  45.0   17.94   1.935    47.2    1.18 1005.598  54.493 40.9  1
 105 28.50 0.017   0.0   0.0   17.63   1.854    38.5    1.09 1101.302  57.910 40.9  1
